Name,Review,Rating,Price,Category,Protect_factor,Mask_func,Mask_img,Purchase_link
숨쉬기편한 국산 KF94 마스크 100매,21366,4.8,35000,먼지차단마스크,KF94/N95,미세먼지필터@저자극@일회용@접이식,https://shop-phinf.pstatic.net/20210509_153/16205477538185co1G_JPEG/21683649498745166_591528017.jpg?type=m510,https://smartstore.naver.com/leatherprince/products/5229827280
국산 위라이프 KF94 대형마스크 100매,2993,4.8,35000,먼지차단마스크,KF94/N95,미세먼지필터@일회용@접이식,https://shop-phinf.pstatic.net/20211017_251/1634469964158rXCYe_PNG/35605797971646144_1517040074.png?type=m510,https://smartstore.naver.com/s_bt/products/5306198266?n_media=11068&n_query=%EB%A7%88%EC%8A%A4%ED%81%AC&n_rank=2&n_ad_group=grp-a001-02-000000019856245&n_ad=nad-a001-02-000000123453676&n_campaign_type=2&n_mall_id=ncp_1o1ekg_01&n_mall_pid=5306198266&n_ad_group_type=2
늘푸른 마스크 국내생산 KF80 황사마스크 대형 중형 소형 50매 공식스토어,82,4.8,29000,먼지차단마스크,KF80,미세먼지필터@김서림방지@저자극@자외선차단@일회용@접이식,https://shop-phinf.pstatic.net/20211019_244/1634610398994xTInq_JPEG/35746233791332222_1260638710.jpg?type=m510,https://smartstore.naver.com/paulmade/products/5946825034?n_media=11068&n_query=%EB%A7%88%EC%8A%A4%ED%81%AC&n_rank=3&n_ad_group=grp-a001-02-000000023971095&n_ad=nad-a001-02-000000157881066&n_campaign_type=2&n_mall_id=ncp_1nucry_01&n_mall_pid=5946825034&n_ad_group_type=2
유라인코리아 푸름웰니스 보건용 비움 마스크 KF94,233,4.7,4880,먼지차단마스크,KF94/N95,미세먼지필터@일회용@접이식,https://shopping-phinf.pstatic.net/main_2732733/27327337525.20210527102003.jpg?type=f640,https://search.shopping.naver.com/catalog/27327337525?query=%EB%A7%88%EC%8A%A4%ED%81%AC&NaPm=ct%3Dkwf3fgz4%7Cci%3Db4777ba79632b7801bac518471c7ab99e0a18ce9%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D1775edec00dbf68302aaa4a3dc3404f1e0e61c3c
퓨어텍 QUQU 크린숨 황사 미세먼지 방역 마스크 KF94,1217,4.6,3810,먼지차단마스크,KF94/N95,미세먼지필터@김서림방지@저자극@방한@자외선차단@방수@일회용@접이식,https://shopping-phinf.pstatic.net/main_1597898/15978981635.20211111171457.jpg?type=f640,https://search.shopping.naver.com/catalog/15978981635?query=%EB%A7%88%EC%8A%A4%ED%81%AC&NaPm=ct%3Dkwf3imeg%7Cci%3Da454d6a984e19e3e1b30604b90cc6629cc3a23d2%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D23b93655e44a5726af234f2608e5234c0e89bb5a
디더블유바이오 에어데이즈 새부리형 마스크 KF94,6853,4.7,3200,먼지차단마스크,KF94/N95,미세먼지필터@김서림방지@일회용@접이식,https://shopping-phinf.pstatic.net/main_2549406/25494065522.20210105094231.jpg?type=f640,https://search.shopping.naver.com/catalog/25494065522?query=%EB%A7%88%EC%8A%A4%ED%81%AC&NaPm=ct%3Dkwf3ngs8%7Cci%3D635419686c36133e93dbf0218f54779757e6f9d8%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3Dde22724c1ce879c8f04306db39f152b0c3308ae3
크린숨 방역마스크 KF94 소형,31,4.8,4950,유아마스크,KF94/N95,일회용@접이식,https://shopping-phinf.pstatic.net/main_2650223/26502234287.20210423122414.jpg?type=f640,https://search.shopping.naver.com/catalog/26502234287?query=%EB%A7%88%EC%8A%A4%ED%81%AC&NaPm=ct%3Dkwf3sae8%7Cci%3D7e07b8198ae12abd5f02df8d230c8cf19c541b0c%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3Db6b05385d4141bad6ed7da195b51e372c3d216f7
디엠씨케이인더스트리 DMCK 클린비 비말차단 국산 일회용 덴탈 마스크 KF-AD,1563,4.7,6500,먼지차단마스크,KF-AD,미세먼지필터@김서림방지@저자극@일회용@접이식,https://shopping-phinf.pstatic.net/main_2639229/26392293523.20210511153428.jpg?type=f640,https://search.shopping.naver.com/catalog/26392293523?query=%EB%A7%88%EC%8A%A4%ED%81%AC&NaPm=ct%3Dkwf3sz34%7Cci%3D5e5bd7f65740ea05ef7988319e0bb241f2134b6b%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D7b2f5d1e8469cdd97c64d61deea439096a65fbb7
이디엘 제로베이 미세 황사 마스크 KF94,7639,4.8,5100,먼지차단마스크,KF94/N95,미세먼지필터@김서림방지@저자극@일회용@접이식,https://shopping-phinf.pstatic.net/main_2324236/23242369492.20210329131934.jpg?type=f640,https://search.shopping.naver.com/catalog/23242369492?query=%EB%A7%88%EC%8A%A4%ED%81%AC&NaPm=ct%3Dkwf3xu8o%7Cci%3D70e2113766c445944dac4f3c4e2e6d679c0c17ca%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D4c733dd4fa055d6993269e35d210a88ae6e38ea8
미마마스크 미마 보건용마스크 KF94,98839,4.8,7490,먼지차단마스크,KF94/N95,미세먼지필터@저자극@일회용@접이식,https://shopping-phinf.pstatic.net/main_2335488/23354886528.20210607110836.jpg?type=f640,https://search.shopping.naver.com/catalog/23354886528?query=%EB%A7%88%EC%8A%A4%ED%81%AC&NaPm=ct%3Dkwf42nuo%7Cci%3Da585b45d351cb2c018f22c243ca33835faa1e5f9%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D3ee5b73b575ebf8080564bd6f1726f18c0ffc1d1
건민 에어에이드 미세먼지 일회용 KF94 컬러 마스크,162,4.8,3500,먼지차단마스크,KF94/N95,미세먼지필터@김서림방지@저자극@자외선차단@일회용@접이식,https://shopping-phinf.pstatic.net/main_2846733/28467337555.20211125203737.jpg?type=f640,https://search.shopping.naver.com/catalog/28467337555?query=%EB%A7%88%EC%8A%A4%ED%81%AC&NaPm=ct%3Dkwf47hgo%7Cci%3Dfee0ff9052b3a5126f652291e564769328b5815a%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3Dabd15b822909bc75bbf027fc521707df18b97e18
퓨어텍 크린숨 플러스 황사마스크 KF80,886,4.7,2890,먼지차단마스크,KF80,미세먼지필터@일회용@접이식,https://shopping-phinf.pstatic.net/main_2532221/25322215526.20201222115525.jpg?type=f640,https://search.shopping.naver.com/catalog/25322215526?query=%EB%A7%88%EC%8A%A4%ED%81%AC&NaPm=ct%3Dkwf492k8%7Cci%3De9a49d343b08ebe8c5d7549d21fc0bb83e04f842%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3Da13727d373cf55520fffca888380b8f381786b9e
퓨어텍 QUQU 크린숨 비말차단 마스크 KF-AD,984,4.6,2690,먼지차단마스크,KF-AD,미세먼지필터@김서림방지@저자극@자외선차단@일회용@접이식,https://shopping-phinf.pstatic.net/main_2334444/23344448490.20200922122353.jpg?type=f640,https://search.shopping.naver.com/catalog/23344448490?query=%EB%A7%88%EC%8A%A4%ED%81%AC&NaPm=ct%3Dkwf4dw68%7Cci%3D4e2711b4f5066e0926c8cd8cf89796c6668ec22b%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3De871f215c983122aacae0dc3c9637ea0f36b7e29
존스미디어 에어퓨리티네오 마스크 KF94,1899,4.7,2380,먼지차단마스크,KF94/N95,미세먼지필터@일회용@접이식,https://shopping-phinf.pstatic.net/main_2936024/29360246619.20211022143014.jpg?type=f640,https://search.shopping.naver.com/catalog/29360246619?query=%EB%A7%88%EC%8A%A4%ED%81%AC&NaPm=ct%3Dkwf4io8o%7Cci%3D53cb11374839236e171be4be1aecda7e29e6ee93%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D1217481b7634ba21e0e5052c112f2d853847cae2
QUQU 끈조절 황사마스크 KF80 소형,2,3.0,4870,유아마스크,KF80,미세먼지필터@김서림방지@저자극@일회용@접이식,https://shopping-phinf.pstatic.net/main_2865370/28653704554.20210901131735.jpg?type=f640,https://search.shopping.naver.com/catalog/28653704554?query=%EB%A7%88%EC%8A%A4%ED%81%AC&NaPm=ct%3Dkwf4nfjc%7Cci%3D626da6fc7c49e75db319984fc68313b54534d220%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D16ed937997892ebfab94822434656f45125f19f0
버드엠 닥터로드 황사방역 마스크 KF94 새부리형,5488,4.5,5400,먼지차단마스크,KF94/N95,미세먼지필터@김서림방지@저자극@방수@일회용@접이식,https://shopping-phinf.pstatic.net/main_2922120/29221208618.20211014103320.jpg?type=f640,https://search.shopping.naver.com/catalog/29221208618?query=%EB%A7%88%EC%8A%A4%ED%81%AC&NaPm=ct%3Dkwf4o834%7Cci%3D4da17141c1fee273aba6a743492e00419a1d9a24%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D82939c325f73cba632f769f189fa01c2c839943b
파인텍 뉴네퓨어 황사 방역 마스크 KF94,26466,4.8,6480,먼지차단마스크,KF94/N95,미세먼지필터@김서림방지@저자극@방한@일회용@접이식,https://shopping-phinf.pstatic.net/main_2324237/23242377491.20210202124117.jpg?type=f640,https://search.shopping.naver.com/catalog/23242377491?query=%EB%A7%88%EC%8A%A4%ED%81%AC&NaPm=ct%3Dkwf4t1p4%7Cci%3D1fdc887b21f94e59bb12c6eeae9eca81bc3015ee%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D2ef7fc0508dc444631fc9ae6d5e7d748b1e65fd6
더나은 새부리형 KF94 소형 마스크,6,4.5,1450,유아마스크,KF94/N95,미세먼지필터@김서림방지@저자극@일회용@접이식,https://shopping-phinf.pstatic.net/main_2905857/29058577587.20211005105420.jpg?type=f640,https://search.shopping.naver.com/catalog/29058577587?query=%EB%A7%88%EC%8A%A4%ED%81%AC&NaPm=ct%3Dkwf4xw2w%7Cci%3Da9a56c2684e375ca42fb5c2f88f79beb0542bd26%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D785cbbc96372be7bb25df05ce1ce7ca447a83bfc
제일위생 이즈 새부리형 마스크 KF94,343,4.8,22500,먼지차단마스크,KF94/N95,미세먼지필터@일회용@접이식,https://shopping-phinf.pstatic.net/main_2939838/29398382618.20211025142021.jpg?type=f640,https://search.shopping.naver.com/catalog/29398382618?query=%EB%A7%88%EC%8A%A4%ED%81%AC&NaPm=ct%3Dkwf4ynuw%7Cci%3D17812b4dd7244faab42292333ea7b37d830f8430%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D2b1d5637b4084fe330e9200d4b7ca3fc7b440a29
이디엘 제로베이 프리미엄 국산 KF94 미세방역 마스크,1454,4.8,5800,먼지차단마스크,KF94/N95,미세먼지필터@김서림방지@저자극@일회용@접이식,https://shopping-phinf.pstatic.net/main_2613157/26131571524.20210329131918.jpg?type=f640,https://search.shopping.naver.com/catalog/26131571524?query=%EB%A7%88%EC%8A%A4%ED%81%AC&NaPm=ct%3Dkwf538zc%7Cci%3D65a9f9d52ba8f9f16148b646e97a694125f3a277%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D21c695ede2def205c46d8361efd7ab10601b0d72
아이케이힐메이드 KF94마스크 힐메이드 빅사이즈 새부리형 특대형,192,4.8,3800,먼지차단마스크,KF94/N95,미세먼지필터@저자극@일회용@접이식,https://shopping-phinf.pstatic.net/main_2825375/28253752554.20210820102147.jpg?type=f640,https://search.shopping.naver.com/catalog/28253752554?query=%EB%A7%88%EC%8A%A4%ED%81%AC&NaPm=ct%3Dkwf583d4%7Cci%3Dd9ad6ccfc4cc5cab1321af2467344fca60c15030%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3Db02c2f834e723345a57593d48fbe8de2cfadbb90
더맑은 새부리형 컬러마스크 KF94,774,4.8,25100,먼지차단마스크,KF94/N95,미세먼지필터@김서림방지@일회용@접이식,https://shopping-phinf.pstatic.net/main_2902844/29028445589.20210929122936.jpg?type=f640,https://search.shopping.naver.com/catalog/29028445589?query=%EB%A7%88%EC%8A%A4%ED%81%AC&NaPm=ct%3Dkwf58nfc%7Cci%3D41d5ece59309a8b18e3e4f7c456ebf21ec238eb7%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3Daedc12a2205e88000857a85445bca386a331754b
크린숨 KF94 황사 방역 마스크,288,4.8,5790,먼지차단마스크,KF94/N95,미세먼지필터@김서림방지@일회용@접이식,https://shopping-phinf.pstatic.net/main_2837845/28378450555.20210810173743.jpg?type=f640,https://search.shopping.naver.com/catalog/28378450555?query=%EB%A7%88%EC%8A%A4%ED%81%AC&NaPm=ct%3Dkwf5dh1c%7Cci%3D46e982f7adc42c296b166e1b5d6021281833ee54%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D9f1292166f2cc13c0662fce257eaf90be0574efb
이츠라이프 하이브리드 KF94 황사방역 마스크 고리형,2421,4.8,14800,먼지차단마스크,KF94/N95,미세먼지필터@김서림방지@저자극@자외선차단@일회용@접이식,https://shopping-phinf.pstatic.net/main_2426557/24265573522.20210216183054.jpg?type=f640,https://search.shopping.naver.com/catalog/24265573522?query=%EB%A7%88%EC%8A%A4%ED%81%AC&NaPm=ct%3Dkwf5hcp4%7Cci%3D2cf4f0749e87845f085f4a974eae7e58eced32be%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D9284b7286b346a8076abaabd29cf0b0b88acd052
퓨랩 덴탈형 마스크 KF94,3830,4.8,13140,먼지차단마스크,KF94/N95,미세먼지필터@일회용@접이식,https://shopping-phinf.pstatic.net/main_2904297/29042972588.20210930103949.jpg?type=f640,https://search.shopping.naver.com/catalog/29042972588?query=%EB%A7%88%EC%8A%A4%ED%81%AC&NaPm=ct%3Dkwf5m72w%7Cci%3D6307481857d344db678dc3f4aa7bfb63d159db65%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3D2677930df3cf73beb71383bcf27d50e1116839b5
씨앤투스성진 AER 라이트핏 마스크 KF94,7021,4.7,7900,먼지차단마스크,KF94/N95,미세먼지필터@김서림방지@저자극@일회용@접이식,https://shopping-phinf.pstatic.net/main_2749241/27492413524.20210608151014.jpg?type=f640,https://search.shopping.naver.com/catalog/27492413524?query=%EB%A7%88%EC%8A%A4%ED%81%AC&NaPm=ct%3Dkwf5r1go%7Cci%3Dcbecafc5baa18f4de41cb4a620a06dd1c0a8f2b4%7Ctr%3Dslsl%7Csn%3D95694%7Chk%3Da4ec68cc989129e5f706c136ad989629b5a5d27d
