Name,Review,Rating,Price,Category,Protect_factor,Mask_func,Mask_img,Purchase_link
위케어 KF80마스크 대형 100매 귀안아픈 명품 운동용 헬스장 귀편한 숨쉬기편한 마스크,293,4.9,32000,먼지차단마스크,KF80,미세먼지필터@저자극@일회용@접이식,https://shop-phinf.pstatic.net/20210609_297/1623196991746mmOEQ_JPEG/24332825551804868_884768578.jpg?type=m510,https://cr.shopping.naver.com/adcr.nhn?x=a%2FgdPKb5bM0vNWoH7TNUtP%2F%2F%2Fw%3D%3Ds0vq%2FnABus05ilK%2Fedv6RYrZkGRthEsprITFz8jIfLsxLSg44y5B9zVXHL8wcBGGzU6i90pzyJvHpuiDjYW5BE5Vnw%2BTIFXJRoFewM%2FMoobV7%2BmhadAnfDL2DUxfiXOS58lFymcL8deQoVf8tZ7Nv9MVIhUTYq2J1wF4XcKD2AOWkOA3ZateG%2FY8eKxwX1E0N1qNhqHctgFcGYJoSEyrGtoo05g5Kgljuls1DwFhM55NIAJ%2FJQ9vsa4G5awamMD3Visext5K2yYkF868rsMDqiXfmMMovyB7tf%2BqxNKPyvSjsuPCj%2BNZ584RvG73r0KlAx72P1MzfeDsyK%2BcBtz34gLeQCJtGjFLtfbIOaHDQBD7F4p7ipfBccnef7K9EJ%2FH1VLCxLScerRAZVapGUReXs%2FYg3U9YoS8C5Ha13Gg9GicszTXNS2Rj8vcSCQ62A4%2F7DzXTbeFltg%2Fd5y8vFvFhTSf3blGlTgpiUghmfr30ip4SivyfGVfnajedP%2BpiE910Rt2h6TxYQOtBX8XJwnIiItrdon0JKTli9nUpLMtCrRqiWM6ZZcRjAnluLaBpHKEbmH170eO46T5E9d72CXpAx62mBiTLS2DXm2E6LF5pLwMlQglP5OOUwRZmj7Vchv03U6YY%2FqA5y35uUd5gsSHBZxh8GEsqVH7sRG0%2BLedaRMCCqA6%2BrrPkSkQjk3bFq%2FUy&nvMid=83139132639&catId=50002057
[100매] KF94 성광퓨어 마스크 보건용 황사방역 비말차단 대형 국산 대용량 모어크린,105,4.8,29800,먼지차단마스크,KF94/N95,다회용@미세먼지필터@김서림방지@저자극@방한@자외선차단@접이식,https://shop-phinf.pstatic.net/20211102_16/1635817412293cH3Gx_JPEG/36953255009024787_1886237863.jpg?type=m510,https://cr.shopping.naver.com/adcr.nhn?x=DAmVjf0c9JAMEdW%2B91aDsf%2F%2F%2Fw%3D%3DsF1xAPk8Bbddloj4a7BCsjZ4uWtPYKf0a%2Bg2GYzlvl85LSg44y5B9zVXHL8wcBGGzcTgZ4cllaXwpMfH%2BQt4nnZVnw%2BTIFXJRoFewM%2FMoobV7%2BmhadAnfDL2DUxfiXOS58lFymcL8deQoVf8tZ7Nv9MVIhUTYq2J1wF4XcKD2AOWkOA3ZateG%2FY8eKxwX1E0NUFFIDppso3vu8zDjM1r1F4o05g5Kgljuls1DwFhM55NIAJ%2FJQ9vsa4G5awamMD3Visext5K2yYkF868rsMDqifsgaf6sdzgmnYOiTskDpPpo7T1Y3IYkIk9u9SBWbof6Xa1PYAb0zmPF1cRoKRscXTeQhBjWjjtRidTqF92I3aEWTXOO0vTOJ40fOSQ9Bq%2BEPcN1JuPHnv%2BduE7YU4qdv49u7QhnjoBn5jwT0jsoXdbs78m%2F%2FQC5RqPJfNIBArMP9MasVJopo2TbsZJBIHD6njSL47wfGqP39j5mjTK16W3WkgH8vaQMEFpLS8WZVcRldnQlaZAcIV1WGHqpl60PMx8g8NqP3B491zvMZrobLTL1EpOf9vjb5FcxsMLr0HehSp2eVuQxOPk698eIiEFge4h2wVzHWhVFmlurYdwgxE%2BCim3yRnnNJX3RGo%2BhrJ8UOTO8UeA%2FCblmZwfBCLXI57hfyywyA54eZukmCisamPsGruH08DlKshetxY8KUEZb&nvMid=82690522744&catId=50002057
컬러마스크 쁘니 색깔 무지개마스크 KF94 KF80 여름 새부리형 레인보우 25매,42,4.6,16800,먼지차단마스크,KF94/N95,미세먼지필터@김서림방지@저자극@방한@자외선차단@일회용@접이식,https://shop-phinf.pstatic.net/20210815_60/1629004800368GLBCQ_JPEG/30140579906647406_833428025.jpg?type=m510,https://cr.shopping.naver.com/adcr.nhn?x=DU3y50PjHCbedfzi5EqKsv%2F%2F%2Fw%3D%3DsuiHLaq7kCDucHRajh6NDtMDh0JH6wtawGDnlMA%2F5V%2FxLSg44y5B9zVXHL8wcBGGzbqLuBz99uu3R%2FriTos5LepVnw%2BTIFXJRoFewM%2FMoobV7%2BmhadAnfDL2DUxfiXOS58lFymcL8deQoVf8tZ7Nv9MVIhUTYq2J1wF4XcKD2AOWkOA3ZateG%2FY8eKxwX1E0NZ6%2B%2FSNWoe%2F7v4uUZrNT4XYo05g5Kgljuls1DwFhM55NIAJ%2FJQ9vsa4G5awamMD3Visext5K2yYkF868rsMDqiS4GVZwD64AY7XMg6IRoLwK%2FB2ukF4KkxRV3y9zBZ9UdXa1PYAb0zmPF1cRoKRscXbV50R44eITOfUG%2BGJrnWiZcBYSA2bl4VG6qJKLKGG1MrnqoUm09sJ1L62uZKjj7f9fkDzFl5aZs5ZeOx6qGFtKwVuNLeMCudVBnI%2FDnftEn0JwTV9v31%2Bf8mWxbOV9pM1N2dPK4Yz2MQSIFd%2FwSNGgqxAuKURnkKI%2BJD%2BS%2FAOfEyUEn%2Fu9IS3XkqGAuq%2FOmfci1%2BEg6hGcCUmjdkNreCL%2BSOzYktpAoNXTUW%2FIrDF4MJvieFE2QlijqQeTdR5LG43JNBrfoJ%2BdPgeiHUsqicrOLutMMlOUPAqnUS1RNXD35ZLo7Tu07wYMJYq2hFvzybQ4SwcLvxUEucVmH%2BcOht40%3D&nvMid=83226534744&catId=50002057
숨쉬고 KF94 커버업 대형 화이트 새부리형 부드러운 마스크 50매,0,0.0,27500,먼지차단마스크,,,https://shop-phinf.pstatic.net/20211107_130/1636256647615pEAPL_JPEG/37392482417742178_203008636.jpg?type=m510,https://cr.shopping.naver.com/adcr.nhn?x=vAdUua0%2BSSBMhdF5hGbvaf%2F%2F%2Fw%3D%3Dsus9A3lZdSYbtK0%2BCAQqdBszX5RsgB1q3az%2FYvnbMJBSGmsBVXsVARfuINXeyD6Kl3tISEoAL3jAOVeQ4DixOJPoyXe0Fpizgp4rgMaiVR4FWiLOYjySvQDnpxHZQ8DwzmG9E4s9lcVvobeOa9pKgBWFEV98CfAwi%2FgpsOD1fQ6BauFou6XqHVWbZADh1MXsbG01WlI6mSwuOSF%2FJbZRSlgzAU2%2F5FzpEal%2BaNIroWIHIt9ELSj9ZgOwWGT6cXiS3NUJnit2TyE8yh3GxJ0fiPEnyeHL%2BiMJPQ8nHAn4%2BLryuqeGTcyTSkld5u%2BvrHFzaV36ogsAbT2GMBHUreotiQN2j2skrAAlx3a4AiE8H5RGZ4DlR%2FzsFlM7%2Bl9CQlC8fh%2FnVqeWo5rPQ%2F7D9ms875ST0VXj2DT9EA82Rq4HSz%2FkDgFBEI4aZ8CNUwislGYWDEqVcX2r4M%2Fi3KAkyIMaumT3xJBDMFFpV8%2FCNZpWit96Gw4CHRaqM1tSsg73NEOacap9iK%2F3FnAMvvV7%2Frz0eVehRsP01P6dPD8QhVeyarTsLk4T2e8DeplmUdLQIGLjMFBdLDvkxuApx87XPZEJAuRVts74aDae3HBkF774a5Xve5%2Bh1HwCR%2B5HiQVlj%2FU7OgqgOvq6z5EpEI5N2xav1Mg%3D%3D&nvMid=83414150909&catId=50002057
"국산 KF94 귀안아픈 새부리형 마스크 대형 50,100매 화장안묻는 귀편한 세부리형",110,4.9,14900,먼지차단마스크,KF94/N95,미세먼지필터@김서림방지@자외선차단@저자극@일회용@접이식,https://shop-phinf.pstatic.net/20210521_268/1621592159547fkmJU_JPEG/22728002211792005_1004426592.jpg?type=m510,https://cr.shopping.naver.com/adcr.nhn?x=enrtbRgGwGDKE0h6hkWBqP%2F%2F%2Fw%3D%3DsK8Hqd5VZemndvffpajJVjdgT5bpPh7swigGNLMqxkPBLSg44y5B9zVXHL8wcBGGzx7GteO7bpfcsgbAOyS7FuJVnw%2BTIFXJRoFewM%2FMoobV7%2BmhadAnfDL2DUxfiXOS58lFymcL8deQoVf8tZ7Nv9MVIhUTYq2J1wF4XcKD2AOWkOA3ZateG%2FY8eKxwX1E0N3uBnAsQOd0D6dIH1GBaPnoo05g5Kgljuls1DwFhM55NIAJ%2FJQ9vsa4G5awamMD3Visext5K2yYkF868rsMDqiV%2Fg8y5me8taU0DaZ0m2qn2fJBZ2fh26YpTXGaHoOTA6Xa1PYAb0zmPF1cRoKRscXRHHCNvZLzMkmzppfn3cODIT26s6RY3FZgZTF79iL2GtbsV1STdFIHaNZfDb3M9g%2F2yey8Uhc7SWpSZoKs4uc6p014IKIei2rVlcXH3FqIHtPwIcl%2F2HLgaeOTqnknzK0i0ptmbo5hQggQcrfAz0IokX0d3A0IkrMpd74SzgRGmkeEypIMkJaSApgs%2FekSaH3qj0P%2BIUx1%2FUXwZp1RpKGjLnlSCe%2B7GyVpVe1P3MhQHwuT3LHYsTijPOJ38PlOyCugaKsRGouACOOfnUkl7MPeLLuH8K%2BqZFsv87nSacq2jKl4npJEyiqvS%2FH50eIT8OkuR79U%2F6Az3gE9mQ%2Flgn57E%3D&nvMid=83145814749&catId=50002057
국내생산제작 KF94 굿케어 황사방역마스크 1매 대형 개별포장,276,4.8,320,먼지차단마스크,KF94/N95,일회용@접이식,https://shop-phinf.pstatic.net/20210828_77/1630081556587izM0N_PNG/31217340305039017_428545553.PNG?type=m510,https://cr.shopping.naver.com/adcr.nhn?x=5JLKCyQmZ46qcrShml7d2P%2F%2F%2Fw%3D%3Ds0xRNsKekYnmMQgNX8IePTU%2FfFzL9wdyYLKZ2FCbb9spLSg44y5B9zVXHL8wcBGGzaCQjMvkZ6Foh5p6qA0b76ZVnw%2BTIFXJRoFewM%2FMoobV7%2BmhadAnfDL2DUxfiXOS58lFymcL8deQoVf8tZ7Nv9MVIhUTYq2J1wF4XcKD2AOWkOA3ZateG%2FY8eKxwX1E0Nw2j13i4eu4Lw6CZYTCrEnYo05g5Kgljuls1DwFhM55NIAJ%2FJQ9vsa4G5awamMD3Visext5K2yYkF868rsMDqibLkkN0yJi1SWqNkZMvEr1C%2FBNgp0fNHpiujQeso5qqEXa1PYAb0zmPF1cRoKRscXabtF6ErBK9HwfXP0RQQWd40ZLCDyhw7T2Nq1Um0gVIgbhbkpGzrv5MRZFL1T3AZnprDP1DoTjQC1Hp7Urh6RQ4kLBqzhuAenfXAEHfVsrbfA8H74roItedV5CnDO3RO0HhU%2Brlv0%2FQ46z4%2BD6PkZj3wjEiICECD44u442EsM26o4jvh7CqzKmBxin5U1QoV3veJgIAkfryvTOyVPTxpRtS4rA7zSM0X8N2%2B2uE6IZRBOWpuCXATz1WpOayXsbTQVySxtdhKTsgA5WY3vSiNljHqoafhOtfIDqAEnVzJdlSYQdAiJdwXirBRdnaxfvrBbw%3D%3D&nvMid=82783984819&catId=50002057
아이코코마스크 소형 중형 새부리형마스크 25매,0,0.0,15000,먼지차단마스크,,,https://shop-phinf.pstatic.net/20211015_114/1634228376723a5Gbb_JPEG/35364204526108641_866966196.jpg?type=m510,https://cr.shopping.naver.com/adcr.nhn?x=eYF6cXZtkia%2Bmi9FqBL5Wf%2F%2F%2Fw%3D%3Dsoh1j35F1kHoOKiGHnjNWuvYXaJp%2FWRbbXIouzZW93NZLSg44y5B9zVXHL8wcBGGz30FM%2BU6A%2BE4WaRJMjayISJVnw%2BTIFXJRoFewM%2FMoobV7%2BmhadAnfDL2DUxfiXOS58lFymcL8deQoVf8tZ7Nv9MVIhUTYq2J1wF4XcKD2AOWkOA3ZateG%2FY8eKxwX1E0NPNhxywQ7Japf9%2B06klHgHYo05g5Kgljuls1DwFhM55NIAJ%2FJQ9vsa4G5awamMD3Visext5K2yYkF868rsMDqib%2F5QPdw52AYsw%2BOpGiqKS2ZMKmBnEGn1lmaL%2FDpEb0JXa1PYAb0zmPF1cRoKRscXUXC5cni73%2Bh0esKEhSrAE3UxzxgeTEVnUxm2xW6o1%2BPv9qiId7c8E90FqeD2rNxsxUCDydMLoLKvdvTnxyW4KZM1QsJa7iA60oe1%2BvJnDXirSet7HJWX5ALoZmygI9VamPsSw1x4xBseC8o8iIfx%2B%2Fq8dEW0qpA%2BqaPK3wAyvcadWFwT%2FpY7wHym2Ge7Cc9m78W1rCmEXVlHAyN%2FpETVpD2UT7%2B2Zok6MXEyiGxl%2BwGSC8BT6MYgnJZqNyCF3N%2Bu3wZot6eLzV0QlsGsbB2RwMdHI8FZtQVGFZJxOyBDKc%2B&nvMid=83475227173&catId=50002057
글로캡 황사방역 마스크 KF94 대형 화이트 (낱개),15,4.7,290,먼지차단마스크,KF94/N95,미세먼지필터@김서림방지@저자극@방한@자외선차단@일회용,https://shop-phinf.pstatic.net/20210421_221/1618979741157xnsdg_JPEG/20115586676076911_37786474.jpg?type=m510,https://cr.shopping.naver.com/adcr.nhn?x=19hbmif%2B6geDXiuR6xe%2BNP%2F%2F%2Fw%3D%3Dsx2WJujZL84eeVtNncRp1msSkgGTABT3aRPpkdUgRa7JLSg44y5B9zVXHL8wcBGGzCOD7Qwz3AUadVlAgMsqe15Vnw%2BTIFXJRoFewM%2FMoobV7%2BmhadAnfDL2DUxfiXOS58lFymcL8deQoVf8tZ7Nv9MVIhUTYq2J1wF4XcKD2AOWkOA3ZateG%2FY8eKxwX1E0NZW5XsEssgPLWYrjUDLYyKoo05g5Kgljuls1DwFhM55NIAJ%2FJQ9vsa4G5awamMD3Visext5K2yYkF868rsMDqidn%2FfSKzhlINaMKDfW%2FrTmsbUvgy7xj2tvEb1dfiWapyx72P1MzfeDsyK%2BcBtz34gDnGAv3ObjodT1VzX5x26nJ7jMYivcCCDsUd5yA%2BpIwrLy%2BklIVGcK%2BO1gR8CgHnsO3I%2FTxvC%2F1dWahDNIHxPtbr5sfnWz4J1LsRFP11caMSRkNIsHYeF8TujeCBvEOLun06%2FGEy3618WsS%2FRrUwA0I09itg1vkRnkU6a%2BVMPFdPGgFTSS09QWwrhGrnBhVLbaCfrI8qPYJEnQZalgMHR%2BYvtHcjdqQBmBvXwwc9TVqDRGPWn51On2dm6h9ErFkz3fOnrjhZamMRlt8bZs%2B%2BsbENUJgJp6CUXauCvW7Y5AjN&nvMid=82964773125&catId=50002057
조정석마스크 에어데이즈 KF94 대형플러스 대형 소형 화이트 블랙 1매입 새부리형,277,4.7,450,먼지차단마스크,KF94/N95,일회용@접이식,https://shop-phinf.pstatic.net/20210805_87/1628148536520mgYQs_JPEG/29284432226568279_2090936427.jpg?type=m510,https://cr.shopping.naver.com/adcr.nhn?x=eQF0gGtnZ2htV%2F725RdkUv%2F%2F%2Fw%3D%3Dse8yBAQUHpEKVWXXpA8N7PX0vQPqkUTbcXDSmLTnZ4Syca3qReKCRDBuIU6ZeGO7fAga4Qu94d3LkNflH6EQdiFHBriln%2F%2BWcFfthPWcGsi4w%2BNsmofTQf9pzyVMBbEtf2zaqCrEqB8q%2Fdk8x1gazm0S%2BortKzfQDWBF5GV%2FKfqEhJv3ljJo79VVIpj6%2Fm3WOHY9%2B9Yywx%2F8q7SxYrPicKXyetosLnUJrsONWBgGxJyxlc6P1YajnJs%2FPQ4MWP%2BA7wc%2B%2FjkR2vl%2B%2B%2B%2F%2BVPNlrhUQ6cpKTqlmYGalnAZlcEQ2ujLXCPloTCCyAkTGPyU8b9lcT5DzcrZN4A%2FiKUOe8FvFO%2FGktGlivHmZPNlv9ouR1oxomM2%2B6sG2SDdZSUZvVCtO9h50ffuIPAiMZwcZuTo1Q4jDSWOHC1C13nitcO%2Ff3l14ArPE6CU%2FR7GRki67yLw64VJqLZgWxzjkvkV8hbmUu8a1uM07B3P2Y%2B8MPvfF36khDANiKQSkhx5iUUfEKCkZveJ%2FZ6dvdV%2F8n9ebgZVvjjj2j0iokie98OTZmutKMZtmkvjUZR6TQJpahv%2FId2xJkJKhKGzBMFFZLKGLZZmX2TA%2B8oN5ThlHRslYHlaGHc0k1sBGFHj1JIeRxrAX8OMvJI6d1hkz6Scn2Jb5%2BoddUpF7z8QhS%2FTv6G3BE5FQNUJgJp6CUXauCvW7Y5AjN&nvMid=82626127501&catId=50002057
[300매] ADM 새부리형 마스크 KF94 화이트 (대형),6,5.0,144000,먼지차단마스크,KF94/N95,미세먼지필터@김서림방지@저자극@일회용@접이식,https://shop-phinf.pstatic.net/20210705_263/1625460609481rhG7E_PNG/26596504983095760_1762438513.png?type=m510,https://cr.shopping.naver.com/adcr.nhn?x=tQiSXvuav%2FhorwB2%2Fc8awv%2F%2F%2Fw%3D%3DsbiuokE72jKVzpOn8dtQNP%2B5a3hr713lq985LbjoVPFmca3qReKCRDBuIU6ZeGO7fPyt7%2FTo4wJx%2BVIK3%2B7a2alHBriln%2F%2BWcFfthPWcGsi4w%2BNsmofTQf9pzyVMBbEtf2zaqCrEqB8q%2Fdk8x1gazm0S%2BortKzfQDWBF5GV%2FKfqEhJv3ljJo79VVIpj6%2Fm3WOxdmfjsyhz3DPSpsyT7b9VnyetosLnUJrsONWBgGxJyxlc6P1YajnJs%2FPQ4MWP%2BA7wc%2B%2FjkR2vl%2B%2B%2B%2F%2BVPNlrhUQ6cpKTqlmYGalnAZlcEQ0CoZGmLLjokMBBD4R49u3%2BdogT38N8cNQCQknhaUtDBfFO%2FGktGlivHmZPNlv9ouRYsNGZO1sUi0hUo42vqSFnif5IIPCZEqGjiuhzLZ2g3c11PeEY1REw8w6rDpiSXE5%2Fb3UNzojmj6Ryx%2FPABJpxLh%2BlTrcHMDMnwyH4IO2JeUvWJXCobf%2BVNQIw9w1HSO20DfWlW9R%2BAkHyhm8RTc22RlubPCL6KgxsPK6IcVY3TIIXqWqPSiMNFV1pqDR8XlA052THORMXVt5DYHJ0OQGrnWuCZz5OLC4aTTd6E1LXrjeAh%2B9XvqDGeu9l5iUAaoIdHI8FZtQVGFZJxOyBDKc%2B&nvMid=83124251652&catId=50002057
